[bwa_index] Pack FASTA... 202.57 sec
[bwa_index] Construct BWT for the packed sequence...
[BWTIncConstructFromPacked] 1810 iterations done. 18100000000 characters processed.
[BWTIncConstructFromPacked] 1820 iterations done. 18200000000 characters processed.
[BWTIncConstructFromPacked] 1830 iterations done. 18300000000 characters processed.
[BWTIncConstructFromPacked] 1840 iterations done. 18400000000 characters processed.
[BWTIncConstructFromPacked] 1850 iterations done. 18500000000 characters processed.
[BWTIncConstructFromPacked] 1860 iterations done. 18600000000 characters processed.
[BWTIncConstructFromPacked] 1870 iterations done. 18700000000 characters processed.
[BWTIncConstructFromPacked] 1880 iterations done. 18800000000 characters processed.
[BWTIncConstructFromPacked] 1890 iterations done. 18900000000 characters processed.
[BWTIncConstructFromPacked] 1900 iterations done. 19000000000 characters processed.
[BWTIncConstructFromPacked] 1910 iterations done. 19100000000 characters processed.
[BWTIncConstructFromPacked] 1920 iterations done. 19200000000 characters processed.
[BWTIncConstructFromPacked] 1930 iterations done. 19300000000 characters processed.
[BWTIncConstructFromPacked] 1940 iterations done. 19400000000 characters processed.
[BWTIncConstructFromPacked] 1950 iterations done. 19500000000 characters processed.
[BWTIncConstructFromPacked] 1960 iterations done. 19600000000 characters processed.
[BWTIncConstructFromPacked] 1970 iterations done. 19700000000 characters processed.
[BWTIncConstructFromPacked] 1980 iterations done. 19800000000 characters processed.
[BWTIncConstructFromPacked] 1990 iterations done. 19900000000 characters processed.
[BWTIncConstructFromPacked] 2000 iterations done. 20000000000 characters processed.
[BWTIncConstructFromPacked] 2010 iterations done. 20100000000 characters processed.
[BWTIncConstructFromPacked] 2020 iterations done. 20200000000 characters processed.
[BWTIncConstructFromPacked] 2030 iterations done. 20300000000 characters processed.
[BWTIncConstructFromPacked] 2040 iterations done. 20400000000 characters processed.
[BWTIncConstructFromPacked] 2050 iterations done. 20500000000 characters processed.
[BWTIncConstructFromPacked] 2060 iterations done. 20600000000 characters processed.
[BWTIncConstructFromPacked] 2070 iterations done. 20700000000 characters processed.
[BWTIncConstructFromPacked] 2080 iterations done. 20800000000 characters processed.
[BWTIncConstructFromPacked] 2090 iterations done. 20900000000 characters processed.
[BWTIncConstructFromPacked] 2100 iterations done. 21000000000 characters processed.
[BWTIncConstructFromPacked] 2110 iterations done. 21100000000 characters processed.
[BWTIncConstructFromPacked] 2120 iterations done. 21200000000 characters processed.
[BWTIncConstructFromPacked] 2130 iterations done. 21300000000 characters processed.
[BWTIncConstructFromPacked] 2140 iterations done. 21400000000 characters processed.
[BWTIncConstructFromPacked] 2150 iterations done. 21500000000 characters processed.
[BWTIncConstructFromPacked] 2160 iterations done. 21600000000 characters processed.
[BWTIncConstructFromPacked] 2170 iterations done. 21700000000 characters processed.
[BWTIncConstructFromPacked] 2180 iterations done. 21800000000 characters processed.
[BWTIncConstructFromPacked] 2190 iterations done. 21900000000 characters processed.
[BWTIncConstructFromPacked] 2200 iterations done. 22000000000 characters processed.
[BWTIncConstructFromPacked] 2210 iterations done. 22100000000 characters processed.
[BWTIncConstructFromPacked] 2220 iterations done. 22200000000 characters processed.
[BWTIncConstructFromPacked] 2230 iterations done. 22300000000 characters processed.
[BWTIncConstructFromPacked] 2240 iterations done. 22400000000 characters processed.
[BWTIncConstructFromPacked] 2250 iterations done. 22500000000 characters processed.
[BWTIncConstructFromPacked] 2260 iterations done. 22600000000 characters processed.
[BWTIncConstructFromPacked] 2270 iterations done. 22700000000 characters processed.
[BWTIncConstructFromPacked] 2280 iterations done. 22800000000 characters processed.
